,Activity,Per,solar powered  water heater,gas water heater,electric water heater - peak hours,electric water heater - off peak hours,gas,natural gas,Jet Fuel,waste management,hybrid,electric - peak hours,electric - off peak hours
1,Household heating => 70F,hour ,,,,,,0.000436,,,,0.00065,0.000542
2,Household heating < 70F,hour ,,,,,,0.000872,,,,0.000923,0.000901
3,Use of heat pump,hour ,,,,,,0.001074,,,,0.001229,0.001188
4,Use of air conditioner ,hour ,,,,,,0.000598,,,,0.00798,0.000721
5,shower - short,activity,1.2E-05,0.000102,0.000232,0.000199,,,,,,,
6,shower - long (> 3 min),activity,1.7E-05,0.000149,0.000354,0.000312,,,,,,,
7,bath,activity,8.8E-05,0.000254,0.000412,0.000368,,,,,,,
8,wash-up,activity,4E-06,4.2E-05,6.7E-05,5.5E-05,,,,,,,
9,use of dishwasher,activity,2.5E-05,0.000165,0.000398,0.000311,,,,,,8.4E-05,7.8E-05
10,use of clothes washer,activity,3.3E-05,0.000199,0.000433,0.000382,,0.000154,,,,0.000102,9.3E-05
11,use of clothes dryer ,activity,,,,,,0.000187,,,,0.000132,0.000122
12,use of cooking range,activity,,,,,,0.000201,,,,0.000142,0.000135
13,use of  oven,activity,,,,,,0.000255,,,,0.000162,0.00015
14,use of self-clean feature of electric oven,activity,,,,,,,,,,0.000199,0.000178
15,Small kitchen applicance in the home,activity,,,,,,,,,,5.4E-05,4.1E-05
16,TV/computer use,hour ,,,,,,,,,,2E-06,2E-06
17,air travel - large plane,100 miles,,,,,,,0.0179,,,,
18,air travel - small  plane (<50 seats) ,100 miles,,,,,,,0.0408,,,,
19,car trips- self only,mile  ,,,,,0.000551,,,,0.000332,0.000192,0.000233
20,car trips - driver and self,mile  ,,,,,0.000554,,,,0.000337,0.000199,0.000245
21,car trips - 2+ people with multiple end points,mile  ,,,,,0.000354,,,,0.000123,3.2E-05,5.5E-05
22,trips using public ground transportation,mile  ,,,,,0.000276,,,,,,
23,bags of garbage disposed,per bag,,,,,,,,0.0419,,,
24,bags of recycling deposited (negative CF),per bag,,,,,,,,-0.0419,,,
25,bags of compost deposited (negative CF),per bag,,,,,,,,-0.0419,,,
26,hazardous or electric items disposed,per item,,,,,,,,0.0211,,,
27,large items disposed,per item,,,,,,,,0.0211,,,
